#Curva Hypsométrica del río Andarax
#h/H ; a/A
1 ; 0
0.979873586161011 ; 0.0397196261682243
0.961410512308716 ; 0.0636682242990654
0.946939454424484 ; 0.088785046728972
0.933799068529607 ; 0.112733644859813
0.918829008649368 ; 0.140771028037383
0.904191616766467 ; 0.169976635514019
0.887724550898204 ; 0.195677570093458
0.868097139055223 ; 0.220210280373832
0.842149035262808 ; 0.242406542056075
0.810212907518297 ; 0.26518691588785
0.76979374584165 ; 0.287383177570093
0.730039920159681 ; 0.309579439252336
0.684963406520293 ; 0.331775700934579
0.640552228875582 ; 0.353971962616822
0.602960745176314 ; 0.376168224299065
0.563206919494345 ; 0.398364485981308
0.531603459747172 ; 0.420560747663551
0.494011976047904 ; 0.442757009345794
0.456586826347305 ; 0.464953271028037
0.417498336660013 ; 0.48714953271028
0.379574184963407 ; 0.509929906542056
0.342648037258816 ; 0.532126168224299
0.305056553559548 ; 0.554322429906542
0.267465069860279 ; 0.576518691588785
0.228376580172987 ; 0.598714953271028
0.191117764471058 ; 0.620911214953271
0.166666666666667 ; 0.643107476635514
0.144544244843646 ; 0.66588785046729
0.122421823020625 ; 0.689252336448598
0.105788423153693 ; 0.712616822429907
0.0901530272787758 ; 0.736565420560748
0.0763473053892216 ; 0.76518691588785
0.0632069194943446 ; 0.794392523364486
0.0533932135728543 ; 0.821261682242991
0.0422488356620093 ; 0.849883177570093
0.031936127744511 ; 0.877336448598131
0.021290751829674 ; 0.910630841121495
